Workclass,Education,Occupation,user_id,feature_timestamp
 State-gov, Bachelors, Adm-clerical,9f2ac416-06e1-44a0-87bd-d4787c85bf66,2023-01-24 06:52:20
 Self-emp-not-inc, Bachelors, Exec-managerial,f9f9a4f6-8f89-439f-8a09-d6b428bf62d9,2023-01-14 06:07:58
 Private, HS-grad, Handlers-cleaners,a2e962bc-f08a-41fc-8285-a0561714d4b3,2023-04-20 17:28:26
 Private, 11th, Handlers-cleaners,f7bb7d47-404b-4f13-bf7f-a8d826a4575b,2023-06-30 22:44:25
 Private, Bachelors, Prof-specialty,0c242a61-0471-4ed9-bcda-a8c4b805fadd,2023-03-22 08:17:41
 Private, Masters, Exec-managerial,ad98ea40-7b79-4666-a4ba-aa071f1bda5c,2023-07-25 20:44:48
 Private, 9th, Other-service,768ddff9-c4b5-48f1-8d79-4a24d76bdf71,2023-01-22 19:01:51
 Self-emp-not-inc, HS-grad, Exec-managerial,ec468c34-0bca-4f6a-bcef-5f1625ffa3d2,2022-10-16 05:17:35
 Private, Masters, Prof-specialty,c9ff1e16-4c0d-4edb-b791-3e6d6f08953b,2022-10-19 07:42:06
 Private, Bachelors, Exec-managerial,be372e02-a372-4329-b628-79b05cbe11bc,2023-05-26 09:58:56
 Private, Some-college, Exec-managerial,346d5c50-5768-49d3-bcc8-9d330505f6bb,2023-08-28 19:40:11
 State-gov, Bachelors, Prof-specialty,dc067fec-7987-43ce-b06e-4405a0c7e5b1,2022-12-06 11:24:52
 Private, Bachelors, Adm-clerical,4200f7ea-dd04-4dd1-b136-2f60ef828f49,2022-10-09 11:52:15
 Private, Assoc-acdm, Sales,449c8f02-768a-49c1-b745-9cee158a9089,2023-09-01 04:16:35
 Private, 7th-8th, Transport-moving,9b390b17-1b0f-4381-87d1-3218e114eb34,2023-08-27 23:34:17
 Self-emp-not-inc, HS-grad, Farming-fishing,6ee539c1-6ce8-43ef-852e-0fe197b07bb8,2023-02-18 12:06:47
 Private, HS-grad, Machine-op-inspct,19449f52-c4b7-49f1-8796-7d07e08f59cd,2023-05-17 09:02:30
 Private, 11th, Sales,20efaebc-ffd1-4fb8-817a-7427f41d3a1c,2023-03-08 11:40:02
 Self-emp-not-inc, Masters, Exec-managerial,1648b9d4-5f81-4708-92f1-3b543b4d6c75,2023-03-09 07:23:35
 Private, Doctorate, Prof-specialty,809527b2-b1ac-4725-affb-013ee32eb2ad,2022-10-04 11:23:10
 Private, HS-grad, Other-service,71f614a6-70d0-408e-a6ba-acb379abd5f3,2023-04-28 05:25:35
 Federal-gov, 9th, Farming-fishing,74b0638a-5742-4d1a-a03f-483794d7aa7c,2023-05-12 16:58:28
 Private, 11th, Transport-moving,93d30841-cf8d-4168-9d7b-a654fd793023,2022-12-19 05:28:54
 Private, HS-grad, Tech-support,861bb950-727a-4cc8-9a34-b685f28a0b1c,2023-07-21 14:11:17
 Local-gov, Bachelors, Tech-support,e8b5af74-5788-4b34-b474-68e8ddc88079,2023-07-02 19:39:17
 Private, HS-grad, Craft-repair,93f950a5-19e5-41c3-a99c-c3997b862a23,2023-01-12 01:50:13
 Private, HS-grad, Exec-managerial,65728dcc-fea7-4ff5-bdae-327cb2f07ec7,2022-11-14 16:41:02
 Private, HS-grad, Craft-repair,88a36c5c-31ee-4af7-af9a-c21708f3853d,2023-01-11 09:34:29
 Local-gov, Assoc-acdm, Protective-serv,49c8b6e8-5873-422c-b456-0df6b1dde46a,2023-01-22 03:50:32
 Private, Some-college, Sales,2cfd5b61-c7ca-4842-8d11-e2fa928aac4f,2023-05-24 08:04:03
 Private, Bachelors, Exec-managerial,641b68c1-d3e7-4b0b-ac91-b5cb646af21b,2023-06-05 01:08:50
 Federal-gov, Some-college, Adm-clerical,ae94d8e8-8e64-4af8-a5bc-eccd231a3ae7,2023-08-11 23:32:23
 State-gov, Some-college, Other-service,4b1f09de-344c-428a-9e10-9ed0210d7e54,2022-09-25 18:24:11
 Private, 11th, Machine-op-inspct,97e49f32-6ea0-42f2-9616-0a6de3939e7b,2023-04-23 07:22:55
